layer,depth,province
291,-4965.9658203125,non-categ_mpas
292,-5114.53564453125,non-categ_mpas
293,-5406.96728515625,non-categ_mpas
294,-5230.966796875,non-categ_mpas
295,-4675.0107421875,non-categ_mpas
296,-4052.46166992188,non-categ_mpas
297,-5640.435546875,non-categ_mpas
298,-5682.720703125,non-categ_mpas
299,-5836.71923828125,non-categ_mpas
300,-5627.51708984375,non-categ_mpas
301,-4340.1044921875,non-categ_mpas
302,-4461.1162109375,non-categ_mpas
303,-4859.88671875,non-categ_mpas
304,-5494.4755859375,non-categ_mpas
305,-5090.20166015625,non-categ_mpas
306,-5036.4892578125,non-categ_mpas
307,-5036.09912109375,non-categ_mpas
308,-4961.5625,non-categ_mpas
309,-4288.8984375,non-categ_mpas
310,-5027.9990234375,non-categ_mpas
311,-5408.5625,non-categ_mpas
312,-5392.791015625,non-categ_mpas
313,-4983.35595703125,non-categ_mpas
314,-4991.39990234375,non-categ_mpas
315,-5350.8017578125,non-categ_mpas
316,-5532.3828125,non-categ_mpas
317,-5376.19091796875,non-categ_mpas
318,-4593.01904296875,non-categ_mpas
319,-5364.00537109375,non-categ_mpas
320,-5817.2802734375,non-categ_mpas
321,-5681.67626953125,non-categ_mpas
322,-5727.0146484375,non-categ_mpas
323,-5359.76171875,non-categ_mpas
324,-4013.3154296875,non-categ_mpas
325,-4457.7763671875,non-categ_mpas
326,-5020.30810546875,non-categ_mpas
327,-5527.560546875,non-categ_mpas
328,-5432.080078125,non-categ_mpas
329,-4876.68896484375,non-categ_mpas
330,-5018.0546875,non-categ_mpas
331,-4888.14111328125,non-categ_mpas
332,-4381.4111328125,non-categ_mpas
333,-5359.470703125,non-categ_mpas
334,-5091.86083984375,non-categ_mpas
335,-5132.8291015625,non-categ_mpas
336,-5353.48779296875,non-categ_mpas
337,-5481.087890625,non-categ_mpas
338,-5708.142578125,non-categ_mpas
339,-5691.8681640625,non-categ_mpas
340,-5675.43994140625,non-categ_mpas
341,-5872.96533203125,non-categ_mpas
342,-5603.4404296875,non-categ_mpas
343,-5809.9541015625,non-categ_mpas
344,-5575.72509765625,non-categ_mpas
345,-4877.4765625,non-categ_mpas
346,-4353.8564453125,non-categ_mpas
347,-4601.5,non-categ_mpas
348,-5181.61083984375,non-categ_mpas
349,-5282.52685546875,non-categ_mpas
350,-4993.96337890625,non-categ_mpas
351,-5011.046875,non-categ_mpas
352,-5026.2685546875,non-categ_mpas
353,-4589.0634765625,non-categ_mpas
354,-3705.82739257813,non-categ_mpas
