layer,province
465,NPSW_Longhurst
466,NPSW_Longhurst
467,NPSW_Longhurst
468,NPSW_Longhurst
469,NPSW_Longhurst
470,NPSW_Longhurst
471,NPSW_Longhurst
472,NPSW_Longhurst
473,NPSW_Longhurst
474,NPSW_Longhurst
475,NPSW_Longhurst
476,PEQD_Longhurst
477,PEQD_Longhurst
478,PEQD_Longhurst
479,PEQD_Longhurst
480,PEQD_Longhurst
481,PEQD_Longhurst
482,PNEC_Longhurst
483,PNEC_Longhurst
484,PNEC_Longhurst
485,PNEC_Longhurst
486,PNEC_Longhurst
487,PNEC_Longhurst
488,PNEC_Longhurst
489,NPTG_Longhurst
490,NPTG_Longhurst
491,NPSW_Longhurst
492,NPSW_Longhurst
493,NPSW_Longhurst
494,NPSW_Longhurst
495,NPSW_Longhurst
496,NPSW_Longhurst
497,NPSW_Longhurst
498,NPSW_Longhurst
499,NPSW_Longhurst
500,NPSW_Longhurst
501,NPSW_Longhurst
502,NPSW_Longhurst
503,PEQD_Longhurst
504,PEQD_Longhurst
505,PEQD_Longhurst
506,PEQD_Longhurst
507,PEQD_Longhurst
508,PEQD_Longhurst
509,PNEC_Longhurst
510,PNEC_Longhurst
511,PNEC_Longhurst
512,PNEC_Longhurst
513,PNEC_Longhurst
514,PNEC_Longhurst
515,PNEC_Longhurst
516,NPTG_Longhurst
517,NPTG_Longhurst
518,NPTG_Longhurst
519,NPSW_Longhurst
520,NPSW_Longhurst
521,NPSW_Longhurst
522,NPSW_Longhurst
523,NPSW_Longhurst
524,NPSW_Longhurst
525,NPSW_Longhurst
526,NPSW_Longhurst
527,NPSW_Longhurst
528,NPSW_Longhurst
529,NPSW_Longhurst
530,PEQD_Longhurst
531,PEQD_Longhurst
532,PEQD_Longhurst
533,PEQD_Longhurst
534,PEQD_Longhurst
535,PEQD_Longhurst
536,PNEC_Longhurst
537,PNEC_Longhurst
538,PNEC_Longhurst
539,PNEC_Longhurst
540,PNEC_Longhurst
541,PNEC_Longhurst
542,PNEC_Longhurst
543,NPTG_Longhurst
544,NPTG_Longhurst
545,NPTG_Longhurst
546,NPTG_Longhurst
547,NPSW_Longhurst
548,NPSW_Longhurst
549,NPSW_Longhurst
550,NPSW_Longhurst
551,NPSW_Longhurst
552,NPSW_Longhurst
553,NPSW_Longhurst
554,NPSW_Longhurst
555,NPSW_Longhurst
556,NPSW_Longhurst
557,NPSW_Longhurst
558,PEQD_Longhurst
559,PEQD_Longhurst
560,PEQD_Longhurst
561,PEQD_Longhurst
562,PEQD_Longhurst
563,PEQD_Longhurst
564,PNEC_Longhurst
565,PNEC_Longhurst
566,PNEC_Longhurst
567,PNEC_Longhurst
568,PNEC_Longhurst
569,PNEC_Longhurst
570,PNEC_Longhurst
571,NPTG_Longhurst
572,NPTG_Longhurst
573,NPTG_Longhurst
574,NPTG_Longhurst
575,NPSW_Longhurst
576,NPSW_Longhurst
577,NPSW_Longhurst
578,NPSW_Longhurst
579,NPSW_Longhurst
580,NPSW_Longhurst
581,NPSW_Longhurst
582,NPSW_Longhurst
583,NPSW_Longhurst
584,NPSW_Longhurst
585,NPSW_Longhurst
586,PEQD_Longhurst
587,PEQD_Longhurst
588,PEQD_Longhurst
589,PEQD_Longhurst
590,PEQD_Longhurst
591,PEQD_Longhurst
592,PNEC_Longhurst
593,PNEC_Longhurst
594,PNEC_Longhurst
595,PNEC_Longhurst
596,PNEC_Longhurst
597,PNEC_Longhurst
598,PNEC_Longhurst
599,NPTG_Longhurst
600,NPTG_Longhurst
601,NPTG_Longhurst
602,NPTG_Longhurst
603,NPTG_Longhurst
604,NPTG_Longhurst
605,NPSW_Longhurst
606,NPSW_Longhurst
607,NPSW_Longhurst
608,NPSW_Longhurst
609,NPSW_Longhurst
610,NPSW_Longhurst
611,NPSW_Longhurst
612,NPSW_Longhurst
613,NPSW_Longhurst
614,NPSW_Longhurst
