layer,province
271255,11_GOODS
271256,11_GOODS
271257,11_GOODS
271258,11_GOODS
271259,12_GOODS
271260,12_GOODS
271261,12_GOODS
271262,12_GOODS
271263,12_GOODS
271264,12_GOODS
271265,12_GOODS
271266,12_GOODS
271267,12_GOODS
271268,12_GOODS
271269,12_GOODS
271270,12_GOODS
271271,12_GOODS
271272,12_GOODS
271273,12_GOODS
271274,12_GOODS
271275,12_GOODS
271276,12_GOODS
271277,12_GOODS
271278,12_GOODS
271279,12_GOODS
271280,12_GOODS
271281,12_GOODS
271282,12_GOODS
271283,10_GOODS
271284,10_GOODS
271285,10_GOODS
271286,10_GOODS
271287,10_GOODS
271288,10_GOODS
271289,11_GOODS
271290,11_GOODS
271291,11_GOODS
271292,11_GOODS
271293,11_GOODS
271294,11_GOODS
271295,11_GOODS
271296,11_GOODS
271297,11_GOODS
271298,11_GOODS
271299,12_GOODS
271300,12_GOODS
271301,12_GOODS
271302,12_GOODS
271303,12_GOODS
271304,12_GOODS
271305,12_GOODS
271306,12_GOODS
271307,12_GOODS
271308,12_GOODS
271309,12_GOODS
271310,12_GOODS
271311,12_GOODS
271312,12_GOODS
271313,12_GOODS
271314,12_GOODS
271315,12_GOODS
271316,12_GOODS
271317,12_GOODS
271318,12_GOODS
271319,12_GOODS
271320,12_GOODS
271321,10_GOODS
271322,10_GOODS
271323,10_GOODS
271324,10_GOODS
271325,11_GOODS
271326,11_GOODS
271327,11_GOODS
271328,11_GOODS
271329,11_GOODS
271330,11_GOODS
271331,11_GOODS
271332,11_GOODS
271333,11_GOODS
271334,11_GOODS
271335,11_GOODS
271336,11_GOODS
271337,11_GOODS
271338,12_GOODS
271339,12_GOODS
271340,12_GOODS
271341,12_GOODS
271342,12_GOODS
271343,12_GOODS
271344,12_GOODS
271345,12_GOODS
271346,12_GOODS
271347,12_GOODS
271348,12_GOODS
271349,12_GOODS
271350,12_GOODS
271351,12_GOODS
271352,12_GOODS
271353,12_GOODS
271354,12_GOODS
271355,12_GOODS
271356,12_GOODS
271357,12_GOODS
271358,12_GOODS
271359,12_GOODS
271360,10_GOODS
271361,10_GOODS
271362,10_GOODS
271363,10_GOODS
271364,10_GOODS
271365,10_GOODS
271366,11_GOODS
271367,11_GOODS
271368,11_GOODS
271369,11_GOODS
271370,11_GOODS
271371,11_GOODS
271372,11_GOODS
271373,11_GOODS
271374,11_GOODS
271375,11_GOODS
271376,11_GOODS
271377,11_GOODS
271378,11_GOODS
271379,12_GOODS
271380,12_GOODS
271381,12_GOODS
271382,12_GOODS
271383,12_GOODS
271384,12_GOODS
271385,12_GOODS
271386,12_GOODS
